#VGD	VGS	I	gos	gm
-2.0	0.2	0	0	0
-1.99	0.2	0	0	0
-1.98	0.2	0	0	0
-1.97	0.2	0	0	0
-1.96	0.2	0	0	0
-1.95	0.2	0	0	0
-1.94	0.2	0	0	0
-1.93	0.2	0	0	0
-1.92	0.2	0	0	0
-1.91	0.2	0	0	0
-1.9	0.2	0	0	0
-1.89	0.2	0	0	0
-1.88	0.2	0	0	0
-1.87	0.2	0	0	0
-1.86	0.2	0	0	0
-1.85	0.2	0	0	0
-1.84	0.2	0	0	0
-1.83	0.2	0	0	0
-1.82	0.2	0	0	0
-1.81	0.2	0	0	0
-1.8	0.2	0	0	0
-1.79	0.2	0	0	0
-1.78	0.2	0	0	0
-1.77	0.2	0	0	0
-1.76	0.2	0	0	0
-1.75	0.2	0	0	0
-1.74	0.2	0	0	0
-1.73	0.2	0	0	0
-1.72	0.2	0	0	0
-1.71	0.2	0	0	0
-1.7	0.2	0	0	0
-1.69	0.2	0	0	0
-1.68	0.2	0	0	0
-1.67	0.2	0	0	0
-1.66	0.2	0	0	0
-1.65	0.2	0	0	0
-1.64	0.2	0	0	0
-1.63	0.2	0	0	0
-1.62	0.2	0	0	0
-1.61	0.2	0	0	0
-1.6	0.2	0	0	0
-1.59	0.2	0	0	0
-1.58	0.2	0	0	0
-1.57	0.2	0	0	0
-1.56	0.2	0	0	0
-1.55	0.2	0	0	0
-1.54	0.2	0	0	0
-1.53	0.2	0	0	0
-1.52	0.2	0	0	0
-1.51	0.2	0	0	0
-1.5	0.2	0	0	0
-1.49	0.2	0	0	0
-1.48	0.2	0	0	0
-1.47	0.2	0	0	0
-1.46	0.2	0	0	0
-1.45	0.2	0	0	0
-1.44	0.2	0	0	0
-1.43	0.2	0	0	0
-1.42	0.2	0	0	0
-1.41	0.2	0	0	0
-1.4	0.2	0	0	0
-1.39	0.2	0	0	0
-1.38	0.2	0	0	0
-1.37	0.2	0	0	0
-1.36	0.2	0	0	0
-1.35	0.2	0	0	0
-1.34	0.2	0	0	0
-1.33	0.2	0	0	0
-1.32	0.2	0	0	0
-1.31	0.2	0	0	0
-1.3	0.2	0	0	0
-1.29	0.2	0	0	0
-1.28	0.2	0	0	0
-1.27	0.2	0	0	0
-1.26	0.2	0	0	0
-1.25	0.2	0	0	0
-1.24	0.2	0	0	0
